ALGORITMO SEQUENCIA-LOGICA-DE-INSTRUCOES
BACKUP COPIA-DE-SEGURANCA-DE-DADOS
COMPILADOR TRADUTOR-DE-CODIGO-FONTE
FRAMEWORK CONJUNTO-DE-FERRAMENTAS-ESTRUTURADAS
RECURSIVIDADE FUNCAO-QUE-CHAMA-A-SI-MESMA
VARIAVEL ESPACO-ALOCADO-NA-MEMORIA
SINTAXE REGRAS-DE-ESCRITA-DA-LINGUAGEM
INTERFACE PONTO-DE-INTERACAO-COM-USUARIO
HERANCA CONCEITO-DE-REUSO-EM-POO
POLIMORFISMO MULTIPLAS-FORMAS-DE-UM-METODO
ENCAPSULAMENTO PROTECAO-DE-ATRIBUTOS-INTERNOS
ABSTRACAO REPRESENTACAO-SIMPLIFICADA-DA-REALIDADE
DATABASE REPOSITORIO-ESTRUTURADO-DE-INFORMACOES
SERVIDOR PROVEDOR-DE-RECURSOS-E-SERVICOS
CLIENTE SOLICITANTE-DE-SERVICOS-EM-REDE
PROTOCOLO CONJUNTO-DE-REGRAS-DE-COMUNICACAO
FIREWALL BARREIRA-DE-SEGURANCA-DE-REDE
CRIPTOGRAFIA CODIFICACAO-PARA-PROTECAO-DE-DADOS
HARDWARE COMPONENTE-FISICO-DO-SISTEMA
SOFTWARE PARTE-LOGICA-E-EXECUTAVEL
PROCESSO PROGRAMA-EM-EXECUCAO
MEMORIA ARMAZENAMENTO-TEMPORARIO-OU-VOLATIL
PROCESSADOR CEREBRO-ELETRONICO-DO-COMPUTADOR
INTERNET REDE-MUNDIAL-DE-COMPUTADORES
NAVEGADOR SOFTWARE-DE-ACESSO-A-WEB
ROTEADOR DISPOSITIVO-DE-ENCAMINHAMENTO-DE-DADOS
BIT MENOR-UNIDADE-DE-INFORMACAO
BYTE CONJUNTO-DE-OITO-BITS
BINARIO SISTEMA-NUMERICO-DE-BASE-DOIS
BOOLEANO TIPO-DE-DADO-VERDADEIRO-OU-FALSO
STRING SEQUENCIA-DE-CARACTERES-DE-TEXTO
MATRIZ ESTRUTURA-DE-DADOS-MULTIDIMENSIONAL
VETOR LISTA-UNIDIMENSIONAL-INDEXADA
CLASSE MODELO-PARA-CRIACAO-DE-OBJETOS
OBJETO INSTANCIA-DE-UMA-CLASSE
METODO COMPORTAMENTO-DEFINIDO-EM-POO
ATRIBUTO CARACTERISTICA-DE-UM-OBJETO
CONSTRUTOR METODO-DE-INICIALIZACAO-DE-CLASSE
EXCECAO EVENTO-ANORMAL-DURANTE-EXECUCAO
DEBUG PROCESSO-DE-CORRECAO-DE-ERROS
REPO REPOSITORIO-DE-VERSOES-DE-CODIGO
COMMIT REGISTRO-DE-ALTERACOES-NO-PROJETO
BRANCH RAMIFICACAO-DE-DESENVOLVIMENTO
STACK PILHA-DE-CHAMADAS-OU-TECNOLOGIAS
FRONTEND CAMADA-VISUAL-DA-APLICACAO
BACKEND LOGICA-E-PROCESSAMENTO-DO-LADO-SERVIDOR
API PONTE-DE-COMUNICACAO-ENTRE-SISTEMAS
JSON FORMATO-DE-INTERCAMBIO-DE-DADOS
DOCKER PLATAFORMA-DE-CONTEINERIZACAO
LINUX NUCLEO-DE-SISTEMA-OPERACIONAL-ABERTO
